product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",232.08,35.9,beauty,aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut,730,Yellow,medium,4.4,amet turpis elementum ligula vehicula consequat morbi a ipsum integer,2018-10-28,2.9,255,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,3.0,120,standard,4.92
2,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",539.39,12.4,clothing,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,347,Orange,extra large,6.6,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida,2022-12-12,3.2,45,potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum,4.1,818,free,47.62
3,nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",14.34,2.84,electronics,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,226,Khaki,medium,6.7,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,2015-05-09,2.7,499,ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec,1.9,471,free,15.12
4,elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",842.73,40.42,toys,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,78,Orange,large,4.2,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,2010-04-13,4.0,833,nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,1.9,659,standard,29.03
5,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.",968.44,33.12,beauty,non mauris morbi non lectus aliquam sit amet diam in magna,17,Violet,large,2.3,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,2011-05-29,1.0,710,justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,4.0,633,free,30.39
6,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",561.58,15.45,electronics,a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,648,Turquoise,medium,9.7,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,2010-06-01,2.0,265,pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante,1.8,129,express,48.64
7,lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,451.15,16.75,beauty,ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros,606,Blue,large,0.4,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,2014-01-29,4.4,210,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,4.0,760,express,15.45
8,dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",83.5,12.66,electronics,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc,672,Indigo,large,9.9,et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,2016-06-18,2.1,905,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,2.4,302,free,28.18
9,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",943.69,40.5,home decor,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,48,Green,small,9.5,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,2022-07-16,4.0,365,lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,4.4,125,express,22.3
10,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",947.94,20.2,toys,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed,959,Red,small,4.1,ornare consequat lectus in est risus auctor sed tristique in tempus sit,2013-01-13,2.9,585,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at,1.3,442,standard,47.62
